"","prefix","Replicate","Generation","mean.fitness","mean.prop.SL","Schedule","mean.learning.rate","mean.learning.rate.SL","mean.learning.episodes","mean.best.fitness","environmental.mean.location","perfrom","folder","seed","init_w_range","init_lr_range","init_le_mean","init_prop_sl","mut_rate_w","mut_step_w","lr_homogenous","mut_rate_lr","mut_step_lr","le_homogenous","mut_rate_le","mut_step_le","mut_rate_sl","mut_step_sl","N","G","lifespan","extrapolate_from","nr_replicates","env_sample_size","env_range","init_mean_env","sd_env","env_change","env_change_sd","env_change_type","env_change_rate","SL_type","IL_type","cue_type","sl_homogenous","one_social_parent","success_bias","sl_speed","mut_rate_schedule","differential_learning_rates","schedule_init","file_rep","f","M","f_M","f_M_simple","colSpaces","row","xLabs","Change","Rate","SD","IL","IL_long","SL","Performance"
"1","1_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",224.879143552764,0,0,2.06735216718891,0.451324139827946,35.504984007996,313.791618607696,0.00566255161825093,0.716936432383743,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"1_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.716651211241907
"2","1_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",271.348920170815,0,0,0.288071263711994,0.348918140081759,29.0020899550225,318.645817502349,0.0221255576933654,0.85180667596264,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"1_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.851569062784936
"3","1_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",270.49916425957,0,0,0.294295315083908,0.719143205641229,27.9257431284358,318.991502251824,-0.0633613066772942,0.848139746224555,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"1_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.847982351724303
"4","1_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",3,"G-2000",261.351776806976,0,0,0.235566007267666,0.351730332633383,30.7177946026986,315.67781996002,-0.0982436721953594,0.828102759527042,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"1_3",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.827906682959467
"5","1_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",4,"G-2000",262.430208322444,0,0,0.40580791307946,2.57244752233233,32.2334127936032,316.240452247276,0.0556204758378684,0.829530163498479,"D:/IL_only_prelim_data_moreReps",134876,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"1_4",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.829843893965986
"6","1_init_prop_sl_0_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",284.572283064983,0,0,0.334554011649375,0.238944234952624,24.5061944027986,320.985830209545,-0.0839545598848398,0.886443917123594,"D:/IL_only_prelim_data_moreReps",134567,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,1,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"1_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.886557150760236
"7","10_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",0,"G-2000",205.256575321235,0,0,0.251039746755042,2.74396727607796,32.4944392803598,315.293073188906,0.021219463947786,0.650805103901685,"D:/IL_only_prelim_data_moreReps",234875,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"10_0",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.7
"8","10_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",1,"G-2000",197.908897999528,0,0,0.270943892168706,0.334020350684298,25.2624587706147,320.607607401449,0.0061704510011048,0.617072308369969,"D:/IL_only_prelim_data_moreReps",234875,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"10_1",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.7
"9","10_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",2,"G-2000",241.231203821049,0,0,0.251034670816892,0.108930311608396,32.7504887556222,316.339093314043,-0.0443010567603443,0.763176094430122,"D:/IL_only_prelim_data_moreReps",234875,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"10_2",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.762571585110945
"10","10_init_prop_sl_0_nr_replicates_5_sd_env_0.1_env_change_0.1_env_change_rate_1_IL_type_Guided_",3,"G-2000",272.650489651324,0,0,0.314068448324338,1.13289503136657,29.1774107946027,317.633231571864,0.0977545990293201,0.858114827138181,"D:/IL_only_prelim_data_moreReps",234875,1,1,20,0,0.01,0.1,"false",0.01,0.1,"true",0.01,1,0,0,1000,20000,500,30,5,10,1,0,0.1,0.1,0.05,"random",1,"ChooseParentLearnParent","Guided","Random","true","false","true",1,0,"true",0,"10_3",1,0.1,"Change: 0.1 (1)","0.1 (1)","Change: 1z","Env SD: 0.1","PB",0.1,1,0.1,"SG","Self-guided","True Imitiation",0.858381499637381
